Restaurants,Retailers,CPG Brands
Tim Hortons,Wal-Mart,Dove
McDonald's,Lululemon,Tide
Subway,Costco,Palmolive
Starbucks,The Home Depot,L'Oreal
Boston Pizza,Rexall,Johnson & Johnson
A&W,Shoppers Drug Mart,Clorox
Wendy's,Zara,Nestle
KFC,Lowe's ,Pampers
Dairy Queen/Orange Julius,amazon.com,Huggies
Swiss Chalet,Safeway,Dawn
Keg Steakhouse & Bar,Best Buy,Always
Pizza Pizza,Apple Stores/iTunes,Bounty
St-Hubert,Roots,Swiffer
Burger King,H&M,Charmin
Earls Kitchen + Bar,Sears,Ziploc
Pizza Hut,Staples,Heinz
Domino's Pizza,Winners,Duracell
Montana's Cookhouse,Dollarama,Energizer
Harvey's,Whole Foods Market,Kleenex
Moxie's Grill & Bar,Gap,Crest
Pizza Pizza,The Bay,Colgate
Freshii,Petsmart,Febreze
Booster Juice,Canadian Tire,Gillette
Panera Bread,Indigo,Olay
Jugo Juice,Rona,Oral-B
Fit for Life,Mexx,Pantene
Milestones,Ikea,Vicks
Jack Astor's,Golf Town,Herbal Essences
Taco Bell,Toys R Us,Listerine
Yogen Fruz,Roots,Braun
Five Guys,The Source,Band-Aid
