Restaurants,Retailers,CPG Brands
Dunkin' Donuts,Wal-Mart,Dove
McDonald's,The Kroger Co.,Tide
Subway,Costco,Palmolive
Starbucks,The Home Depot,L'Oreal
Chick-fil-A,Walgreen,Johnson & Johnson
Arby's,Target,Clorox
Wendy's,CVS Caremark,Nestle
KFC,Lowe's ,Pampers
Dairy Queen/Orange Julius,amazon.com,Huggies
Applebee's,Safeway,Dawn
"Sonic, America's Drive-In",Best Buy,Always
Olive Garden,Apple Stores/iTunes,Bounty
Chili's Girll & Bar,Macy's,Swiffer
Burger King,Rite Aid,Charmin
Jack in the Box,Sears,Ziploc
Pizza Hut,Dollar General,Heinz
Domino's Pizza,TJX,Duracell
Red Lobster,Albertsons,Energizer
Carl's Jr.,Kohl's,Kleenex
Popeyes,Gap,Crest
IHOP,Whole Foods Market,Colgate
Denny's,Nordstrom,Febreze
Outback Steakhouse,Bed Bath & Beyond,Gillette
Panera Bread,Supervalue,Olay
Chipotle Mexican Grill,7-Eleven,Oral-B
Papa John's Pizza,Staples,Pantene
Buffalo Wild Wings,Petsmart,Vicks
Hardee's,Foot Locker,Herbal Essences
Taco Bell,Toys R Us,Listerine
T.G.I. Friday's,Office Depot,Kellogg
Five Guys,Ace Hardware,Band-Aid
